kalimat,kata,postag,entitas
1,Pengamat,NN,O
1,politik,NN,O
1,dari,IN,O
1,Universitas,NNP,ORG
1,Gadjah,NNP,ORG
1,Mada,NNP,ORG
1,",",Z,O
1,Arie,NNP,PER
1,Sudjito,NNP,PER
1,",",Z,O
1,menilai,VB,O
1,",",Z,O
1,keinginan,NN,O
1,Ketua,NNP,O
1,Umum,NNP,O
1,Partai,NNP,ORG
1,Golkar,NNP,ORG
1,Aburizal,NNP,PER
1,Bakrie,NNP,PER
1,untuk,SC,O
1,maju,VB,O
1,kembali,VB,O
1,sebagai,IN,O
1,ketua,NN,O
1,umum,JJ,O
1,merupakan,VB,O
1,pemaksaan,NN,O
1,kehendak,NN,O
1,.,Z,O
2,Menurut,IN,O
2,dia,PRP,O
2,",",Z,O
2,ada,VB,O
2,kesan,NN,O
2,bahwa,SC,O
2,Aburizal,NNP,PER
2,menggunakan,VB,O
2,segala,CD,O
2,cara,NN,O
2,untuk,SC,O
2,memuluskan,VB,O
2,jalannya,RB,O
2,kembali,VB,O
2,menduduki,VB,O
2,Golkar,NN,ORG
2,1,CD,O
2,.,Z,O
3,Hal,NN,O
3,ini,PR,O
3,",",Z,O
3,kata,VB,O
3,Arie,NNP,PER
3,",",Z,O
3,berpotensi,NN,O
3,menimbukan,VB,O
3,perpecahan,NN,O
3,di,IN,O
3,kalangan,NN,O
3,kader,NN,O
3,Golkar,NNP,ORG
3,di,IN,O
3,daerah,NN,O
3,.,Z,O
4,"""",Z,O
4,Tentu,RB,O
4,ini,PR,O
4,akan,MD,O
4,merugikan,VB,O
4,Golkar,NN,ORG
4,karena,SC,O
4,Golkar,NNP,ORG
4,akan,MD,O
4,pecah,VB,O
4,dan,CC,O
4,konflik,NN,O
4,di,IN,O
4,daerah,NN,O
4,dipastikan,VB,O
4,akan,MD,O
4,terjadi,VB,O
4,",",Z,O
4,"""",Z,O
4,ujar,VB,O
4,Arie,NNP,PER
4,",",Z,O
4,saat,NN,O
4,dihubungi,VB,O
4,Kompas.com,NNP,O
4,",",Z,O
4,Selasa,NNP,TIM
4,(,Z,TIM
4,2/12/2014,CD,TIM
4,),Z,TIM
4,.,Z,O
5,Arie,NNP,PER
5,mengatakan,VB,O
5,",",Z,O
5,sikap,NN,O
5,Aburizal,NN,PER
5,tersebut,PR,O
5,ditentang,VB,O
5,oleh,IN,O
5,sebagian,CD,O
5,kalangan,NN,O
5,di,IN,O
5,internal,JJ,O
5,Golkar,NNP,ORG
5,yang,SC,O
5,melakukan,VB,O
5,perlawanan,NN,O
5,dengan,SC,O
5,membentuk,VB,O
5,Presidium,NNP,ORG
5,Penyelamat,NNP,ORG
